exercice_de_la_premiere_decision;famille_de_procedure_du_dossier;dossier;beneficiaire;type_de_tiers;commission;montant_vote;localisation_projet;montant_vote_par_localisation;pourcentage_de_la_localisation;adresse_administrative_du_tiers_beneficiaire;adresse_administrative_code_postal_du_tiers_beneficiaire;adresse_administrative_ville_du_tiers_beneficiaire;adresse_administrative_code_departement_du_tiers_beneficiaire;wgs84
2012;Subventions spécifiques de fonctionnement;FESTIVAL JAZZ AU THEATRE 2012  NOUVELLE AIDE;RJ 77 RESEAU JAZZ 77;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;4000;FONTAINEBLEAU;4000;100,00%;40 RUE GRANDE;77300;FONTAINEBLEAU;77;48.4044902,2.7010051
2012;Subventions spécifiques de fonctionnement;FESTIVAL TA PAROLE;BOLONDOKHAZA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;10000;MONTREUIL;10000;100,00%;10 B RUE FRANCOIS DEBERGUE;93100;MONTREUIL SOUS BOIS;93;48.8581314,2.4386709
2012;Subventions spécifiques de fonctionnement;FESTIVAL SAINT DENIS  VOLET METIS RENOUVELLEMENT;FESTIVAL SAINT-DENIS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;60000;SEINE SAINT DENIS;60000;100,00%;16, place de la Légion d'honneur;93200;ST DENIS;93;48.9348003,2.3582724
2012;Subventions spécifiques de fonctionnement;"NUIT VIVE - FESTIVAL MUSIQUES ACTUELLES ""NUITS CAPITALES""";NUIT VIVE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 octobre 2012;18000;VILLE DE PARIS;18000;100,00%;67 AV PARMENTIER;75011;PARIS;75;48.8639625,2.375494
2013;Subventions spécifiques de fonctionnement;MJC LES TERRASSE - FESTIVAL  BONNE MACHINE  RENOUVELLEMENT 2013;MJC CONFLANS STE HONORIN MAISON JEUNES & CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;5000;CONFLANS-SAINTE-HONORINE;5000;100,00%;AV  DU PONT;78700;CONFLANS STE HONORINE;78;48.990795,2.0817979
2013;Subventions spécifiques de fonctionnement;CIFORDOM (BANLIEUES TROPICALES 2013 - NOUVELLE DEMANDE 2013);CIFORDOM CTRE INFORM FORMAT RECH ORIG OUTRE MER;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 20 novembre 2013;25000;DEPARTEMENT DE PARIS;25000;100,00%;RUE DU LANGUEDOC;91300;MASSY;91;48.7355416,2.2968414
2013;Subventions spécifiques de fonctionnement;MECANICK'S (WEATHER FESTIVAL - NOUVELLE DEMANDE 2013);MECANICK'S;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;8000;REGION ILE DE FRANCE;8000;100,00%;48 BOULEVARDS DU MONTPARNASSE;75015;PARIS;75;48.8445588,2.3213401
2013;Subventions spécifiques de fonctionnement;VILLES MUSIQUES DU MONDE  - RENOUVELLEMENT CP JUILLET 2013;VILLES MUSIQUES DU MONDE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;38000;REGION ILE DE FRANCE;38000;100,00%;4 avenue de la Division Leclerc;93300;AUBERVILLIERS;93;48.9140767,2.4064551
2014;Subventions spécifiques de fonctionnement;VILLES MUSIQUES DU MONDE ( FESTIVAL DES MUSIQUES - RENOUVELLEMENT 2014);VILLES MUSIQUES DU MONDE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;38000;REGION ILE DE FRANCE;38000;100,00%;4 AVENUE DE LA DIVISION LECLERC;93300;AUBERVILLIERS;93;48.9140767,2.4064551
2014;Subventions spécifiques de fonctionnement;COMMUNE DE MARCOUSSIS - FESTIVAL ELFONDUROCK RENOUVELLEMENT 2014;COMMUNE DE MARCOUSSIS;Communes;Commission permanente du 10 avril 2014;13500;MARCOUSSIS;13500;100,00%;5  RUE ALFRED DUBOIS;91460;MARCOUSSIS;91;48.6431769,2.2314522
2011;Subventions spécifiques de fonctionnement;KOUDJU FESTIVAL;KOUD JU;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 20 octobre 2011;6000;SEINE ET MARNE;6000;100,00%;19 RUE MILLIARY;77170;BRIE-COMTE-ROBERT;77;48.6946434,2.6075366
2011;Subventions spécifiques de fonctionnement;KIOSQUORAMA ECO FESTIVAL MUSICAL (nouvelle demande );KIOSQUORAMA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 7 juillet 2011;10000;VILLE DE PARIS;10000;100,00%;12-14 RUE OLIVIER METRA;75020;PARIS 20;75;48.8722255,2.394994
2012;Subventions spécifiques de fonctionnement;KOUD JU (aide au festival);KOUD JU;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 octobre 2012;6000;BRIE-COMTE-ROBERT;6000;100,00%;19 RUE MILLIARY;77170;BRIE-COMTE-ROBERT;77;48.6946434,2.6075366
2012;Subventions spécifiques de fonctionnement;PLUS DE SONS FESTIVAL ROCK EN SEINE 10è EDITION;PLUS DE SONS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;655000;REGION ILE DE FRANCE;655000;100,00%;15  RUE DU LOUVRE;75001;PARIS 01;75;48.8637773,2.3421109
2012;Subventions spécifiques de fonctionnement;JAZZ AU FIL DE L'OISE (CP JUILLET 2012);JAZZ AU FIL DE L'OISE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;15000;VAL D'OISE;15000;100,00%;Maison de l'Ile;95430;AUVERS S/OISE;95;49.071873,2.182874
2012;Subventions spécifiques de fonctionnement;KUDETA FESTIVAL COUP D'ECLAT NOUVELLE DEMANDE (CP JUILLET 2012);ASSOCIATION KUDETA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;8000;YVELINES;8000;100,00%;1 BOULEVARD DU RHIN;78310;MAUREPAS;78;48.770058,1.940798
2013;Subventions spécifiques de fonctionnement;GROUPE VENDOME ORGANISATION (FESTIVAL MARVELLOUS ISLAND - NOUVELLE DEMANDE 2013);GROUPE VENDOME ORGANISATION VENDOME EVENEMENT-GALA EVENEMENT;Entreprises et professions libérales;Commission permanente du 30 mai 2013;10000;DEPARTEMENT DE PARIS;10000;100,00%;33 RUE DES JEUNEURS;75002;PARIS;75;48.8696817,2.3441018
2013;Subventions spécifiques de fonctionnement;PARIS JAZZ CLUB (JAZZ CLUBS FESTIVAL - NOUVELLE DEMANDE 2013);PARIS JAZZ CLUB;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;8000;REGION ILE DE FRANCE;8000;100,00%;39 RUE DES LOMBARDS;75001;PARIS;75;48.8598229,2.3474897
2013;Subventions spécifiques de fonctionnement;FESTI''VAL DE MARNE  renouvellement CP JUILLET 2013;FESTI'VAL DE MARNE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;20000;VAL DE MARNE;20000;100,00%;79/81 avenue Danielle Casanova;94200;IVRY S/SEINE;94;48.8128369,2.3859468
2013;Subventions spécifiques de fonctionnement;ASSOCIATION LA RUCHE - FESTIVAL WORLD OF WORDS (RENOUVELLEMENT CP JUILLET 2013);ASSOCIATION LA RUCHE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;4000;VAL D'OISE;4000;100,00%;MAISON DE QUARTIER;95800;CERGY;95;49.0489899,2.0165313
2013;Subventions spécifiques de fonctionnement;BLUES SUR SEINE  -  renouvellement CP JUILLET 2013;BLUES SUR SEINE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;25000;YVELINES;25000;100,00%;18 RUE DE GASSICOURT;78200;MANTES LA JOLIE;78;48.991344,1.7095473
2014;Subventions spécifiques de fonctionnement;FESTIVAL SAINT-DENIS - FESTIVAL METIS RENOUVELLEMENT 2014;FESTIVAL SAINT-DENIS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;60000;CA PLAINE COMMUNE;60000;100,00%;16 PLACE DE LA LEGION D'HONNEUR;93200;ST DENIS;93;48.9347835,2.3582602
2014;Subventions spécifiques de fonctionnement;"JAZZ EN PAYS FERTOIS -  FESTIVAL ""FERTE JAZZ"" RENOUVELLEMENT 2014";JAZZ EN PAYS FERTOIS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;15000;LA FERTE-SOUS-JOUARRE;15000;100,00%;9 RUE DU 103EME REGIMENT INFANT;77138;LUZANCY;77;48.972669,3.187653
2014;Subventions spécifiques de fonctionnement;CENTRE D''ART ET CULTURE (JAZZ'N'KLEZMER - renouvellement 2014);CAC CENTRE D'ART ET CULTURE RUE BROCA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2014;10000;DEPARTEMENT DE PARIS;10000;100,00%;39 RUE BROCA;75005;PARIS;75;48.8378542,2.3478518
2014;Subventions spécifiques de fonctionnement;MJC LES TERRASSE - FESTIVAL  BONNE MACHINE  RENOUVELLEMENT 2014;MJC CONFLANS STE HONORIN MAISON JEUNES & CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 janvier 2014;5000;CONFLANS-SAINTE-HONORINE;5000;100,00%;AV  DU PONT;78700;CONFLANS STE HONORINE;78;48.9909009,2.0817736
2014;Subventions spécifiques de fonctionnement;RACINES, MEMOIRE ET TRADITIONS ANTILLES -   FESTIVAL NUIT TROPICALES /BANLIEUES TROPICALES 2014;RACINES MEMOIRE ET TRADITIONS ANTILLES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;55000;ERMONT;55000;100,00%;7 RUE DE MONTCIENT;95500;GONESSE;95;48.9975154,2.4321595
2014;Subventions spécifiques de fonctionnement;FONTENAY EN SCENES  - FESTIVAL MUSIQUES ACTUELLES  LES AVENTURIERS RENOUVELLEMENT 2014;FONTENAY EN SCENES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2014;10000;FONTENAY-SOUS-BOIS;10000;100,00%;166 BD GALLIENI;94120;FONTENAY SOUS BOIS;94;48.8494276,2.4771823
2014;Subventions spécifiques de fonctionnement;PLUS DE SONS- FESTIVAL ROCK EN SEINE 2014 - RENOUVELLEMENT);PLUS DE SONS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 janvier 2014;655000;SAINT-CLOUD;655000;100,00%;15  RUE DU LOUVRE;75001;PARIS 01;75;48.8637773,2.3421109
2014;Subventions spécifiques de fonctionnement;A QUI LE TOUR (FESTIVAL BALAD A ZIC- renouvellement 2014);A QUI LE TOUR;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2014;6000;VAL D'OISE;6000;100,00%;PLACE DE LA MAIRIE;95440;ECOUEN;95;49.0184802,2.3788673
2011;Subventions spécifiques de fonctionnement;FESTIVAL LES AVENTURIERS 7EME EDITION;FONTENAY EN SCENES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 20 octobre 2011;8000;FONTENAY-SOUS-BOIS;8000;100,00%;26 rue Gérard Philippe;94120;FONTENAY SOUS BOIS;94;48.8511649,2.4692142
2011;Subventions spécifiques de fonctionnement;LES PRIMEURS DE MASSY - RENOUVELLEMENT DEMANDE;ATMAC ASS TECH MASS ACTI ON CULT;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 20 octobre 2011;30000;MASSY;30000;100,00%;6 ALLEE DU QUEBEC;91300;MASSY;91;48.7295616,2.2840582
2013;Subventions spécifiques de fonctionnement;ACCUEIL LOISIRS CULTURE  RENOUVELLEMENT FESETIVAL MAGNIFIK CP JUILLET 2013;ALC ACCUEIL LOISIRS CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;3000;CHEVREUSE;3000;100,00%;RUE DU VIEUX CIMETIERE;78460;CHEVREUSE;78;48.7085358,2.0389383
2013;Subventions spécifiques de fonctionnement;QWARTZ AIDE AUX FESTIVALS MA 2013;QWARTZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;45000;DEPARTEMENT DE PARIS;45000;100,00%;53 RUE DE LA FONTAINE AU ROI;75011;PARIS;75;48.8682116,2.3736307
2013;Subventions spécifiques de fonctionnement;BOLONDOKHAZA (FESTIVAL TAPAROLE - RENOUVELLEMENT 2013);BOLONDOKHAZA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;10000;MONTREUIL;10000;100,00%;10 B RUE FRANCOIS DEBERGUE;93100;MONTREUIL SOUS BOIS;93;48.8581314,2.4386709
2013;Subventions spécifiques de fonctionnement;PLUS DE SONS- FESTIVAL ROCK EN SEINE 2013 - RENOUVELLEMENT;PLUS DE SONS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;655000;SAINT-CLOUD;655000;100,00%;15  RUE DU LOUVRE;75001;PARIS 01;75;48.8637773,2.3421109
2013;Subventions spécifiques de fonctionnement;ASSOCE KIPIK (FESTIVAL SUR LES POINTES - RENOUVELLEMENT 2013);ASSOCE KIPIK;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;7000;VAL DE MARNE;7000;100,00%;39-41 RUE HENRI DE VILMORIN;94400;VITRY-SUR-SEINE;94;48.7945951,2.3880025
2013;Subventions spécifiques de fonctionnement;L'ESTIVAL ST GERMAIN EN LAYE  RENOUVELLEMENT JUILLET 2013;L'ESTIVAL ST GERMAIN EN LAYE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;10000;YVELINES;10000;100,00%;4 rue Giraud Teulon;78100;ST GERMAIN EN LAYE;78;48.8934985,2.0968678
2014;Subventions spécifiques de fonctionnement;MAMA (FESTIVAL MAMA - RENOUVELLEMENT 2014);MAMA MAMA;Entreprises;Commission permanente du 18 juin 2014;120000;DEPARTEMENT DE PARIS;120000;100,00%;46 RUE BOURET;75019;PARIS;75;48.8824883,2.372923
2014;Subventions spécifiques de fonctionnement;ASSOCIATION LA RUCHE (FESTIVAL WORLD OF WORDS - RENOUVELLEMENT 2014);ASSOCIATION LA RUCHE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;4000;VAL D'OISE;4000;100,00%;MAISON DE QUARTIER;95800;CERGY;95;49.0489899,2.0165313
2014;Subventions spécifiques de fonctionnement;WELL DONE SIMONE (MAISONS-LAFFITTE JAZZ FESTIVAL 2014);WDS WELL DONE SIMONE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;4000;VINCENNES;4000;100,00%;3 RUE DE LA PREVOYANCE;94300;VINCENNES;94;48.8468005,2.4200043
2011;Subventions spécifiques de fonctionnement;WE LOVE GREEN (Aide au festivals de musiques actuelles 2011);ASSO WE LOVE GREEN;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 7 juillet 2011;20000;DEPARTEMENT DE PARIS;20000;100,00%;173-175 RUE DU FAUBOURG POISSONNIERE;75009;PARIS;75;48.881951,2.3496411
2012;Subventions spécifiques de fonctionnement;MANGEUR D'OGRES - FESTIVAL LA GUINGUETTE ITINERANTE NOUVELLE DEMANDE (CP JUILLET 2012);ASSOCIATION MANGEUR D'OGRES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;25000;CERGY;25000;100,00%;7 PLACE DE LA REPUBLIQUE;95000;CERGY;95;49.0339585,2.061752
2012;Subventions spécifiques de fonctionnement;AU SUD DU NORD (CP JUILLET 2012);AU SUD DU NORD;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;10000;ESSONNE;10000;100,00%;8  RUE DES VALLEES;91590;BOISSY LE CUTTE;91;48.4693962,2.2832339
2012;Subventions spécifiques de fonctionnement;TAYASAL-   FESTIVAL JAZZ MAISONS LAFFITTE;TAYASAL;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 octobre 2012;4000;MAISONS-LAFFITTE;4000;100,00%;54 RUE DU TIR;78600;MAISONS-LAFFITTE;78;48.9459851,2.1325777
2012;Subventions spécifiques de fonctionnement;L'ESPRIT JAZZ;L'ESPRIT JAZZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;15000;VILLE DE PARIS;15000;100,00%;19  RUE DES FRIGOS;75013;PARIS 13;75;48.831586,2.3791645
2013;Subventions spécifiques de fonctionnement;AUBERCAIL ASSOCIATION - FESTIVAL AUBERCAIL RENOUVELLEMENT 2013;AUBERCAIL ASSOCIATION;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;35000;AUBERVILLIERS;35000;100,00%;135-153 RUE DANIELLE CASANOVA;93300;AUBERVILLIERS;93;48.9163647,2.3979455
2013;Subventions spécifiques de fonctionnement;FESTIVAL SAINT-DENIS - FESTIVAL METIS RENOUVELLEMENT 2013;FESTIVAL SAINT-DENIS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;60000;CA PLAINE COMMUNE;60000;100,00%;16, place de la Légion d'honneur;93200;ST DENIS;93;48.9348003,2.3582724
2013;Subventions spécifiques de fonctionnement;ASSOCIATION MANGEUR D'OGRES - FESTIVAL GUINGUETTE CERGY RENOUVELLEMENT 2013;ASSOCIATION MANGEUR D'OGRES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;25000;CERGY;25000;100,00%;7 PLACE DE LA REPUBLIQUE;95000;CERGY;95;49.0339585,2.061752
2013;Subventions spécifiques de fonctionnement;COMMUNE DE MARCOUSSIS - FESTIVAL ELFONDUROCK RENOUVELLEMENT 2013;COMMUNE DE MARCOUSSIS;Communes;Commission permanente du 4 avril 2013;13500;MARCOUSSIS;13500;100,00%;5  RUE ALFRED DUBOIS;91460;MARCOUSSIS;91;48.6424271,2.2333885
2013;Subventions spécifiques de fonctionnement;COLLECTIFDOM -  FESTIVAL LES NUITS DU CARNAVAL -2013;COLLECTIFDOM COLLECTIF DES ANTILLAIS GUYANNAIS REUNIONNAIS ET MAHORAIS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 23 janvier 2013;30000;VILLE DE PARIS;30000;100,00%;245 RUE DU FAUBOURG SAINT ANTOINE;75011;PARIS 11;75;48.8501331,2.3854322
2013;Subventions spécifiques de fonctionnement;KUDETA - FESTIVAL COUP D''ECLAT (RENOUVELLEMENT CP JUILLET 2013);ASSOCIATION KUDETA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;10000;YVELINES;10000;100,00%;1 BOULEVARD DU RHIN;78310;MAUREPAS;78;48.770058,1.940798
