exercice_de_la_premiere_decision;famille_de_procedure_du_dossier;dossier;beneficiaire;type_de_tiers;commission;montant_vote;localisation_projet;montant_vote_par_localisation;pourcentage_de_la_localisation;adresse_administrative_du_tiers_beneficiaire;adresse_administrative_code_postal_du_tiers_beneficiaire;adresse_administrative_ville_du_tiers_beneficiaire;adresse_administrative_code_departement_du_tiers_beneficiaire;wgs84
2014;Subventions spécifiques de fonctionnement;ASSOCIATION SONS D'HIVER (FESTIVAL SONS D'HIVER - RENOUVELLEMENT 2014);ASSOCIATION SONS D'HIVER;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;95000;REGION ILE DE FRANCE;95000;100,00%;DOMAINE CHERIOUX;94407;VITRY S/SEINE CEDEX;94;48.779019,2.367365
2014;Subventions spécifiques de fonctionnement;ASSOCE KIPIK FESTIVAL SUR LES POINTES - RENOUVELLEMENT 2014;ASSOCE KIPIK;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;7000;VAL DE MARNE;7000;100,00%;39 RUE HENRI DE VILMORIN;94400;VITRY-SUR-SEINE;94;48.7944866,2.3880746
2014;Subventions spécifiques de fonctionnement;BLUES SUR SEINE (FESTIVAL BLUES SUR SEINE - RENOUVELLEMENT 2014);BLUES SUR SEINE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;25000;YVELINES;25000;100,00%;28 RUE DE LORRAINE;78200;MANTES-LA-JOLIE;78;48.9877411,1.7134257
2011;Subventions spécifiques de fonctionnement;FESTIVAL SONS D'HIVER 21ème édition - DEMANDE EN RENOUVELLEMENT;ASSOCIATION SONS D'HIVER;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 20 octobre 2011;85000;VAL DE MARNE;85000;100,00%;Domaine Chérioux;94407;VITRY S/SEINE CEDEX;94;48.777037,2.367762
2012;Subventions spécifiques de fonctionnement;ACCUEIL LOISIRS CULTURE (CP JUILLET 2012);ALC ACCUEIL LOISIRS CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;3000;CHEVREUSE;3000;100,00%;RUE DU VIEUX CIMETIERE;78460;CHEVREUSE;78;48.7085358,2.0389383
2012;Subventions spécifiques de fonctionnement;MAMA (CP JUILLET 2012);MAMA;Entreprises et professions libérales;Commission permanente du 12 juillet 2012;100000;DEPARTEMENT DE PARIS;100000;100,00%;22 RUE HENRI SELLIER;75019;PARIS;75;48.8679909,2.226363
2012;Subventions spécifiques de fonctionnement;LES MOLIERES EVENEMENTS- FESTIVAL 6 HEURES DE JAZZ NOUVELLE DEMANDE(CP JUILLET 2012);LES MOLIERES EVENEMENTS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;4000;LES MOLIERES;4000;100,00%;PLACE DE LA MAIRIE;91470;LES MOLIERES;91;48.6729291,2.0688272
2012;Subventions spécifiques de fonctionnement;VILLE DE MAGNY LES HAMEAUX- FESTIVAL MUSIQUES ACTUELLES A BOUT DE CHANT (NOUVELLE AIDE 2012);COMMUNE DE MAGNY LES HAMEAUX;Communes;Commission permanente du 29 mars 2012;10000;MAGNY-LES-HAMEAUX;10000;100,00%;1   PL  PIERRE BEREGOVOY;78470;MAGNY LES HAMEAUX;78;48.7236637,2.0832395
2012;Subventions spécifiques de fonctionnement;LA NUIT DES MUSICIENS (CP JUILLET 2012);LA NUIT DES MUSICIENS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;6000;VILLE DE PARIS;6000;100,00%;51 RUE DE LA REVOLUTION;93100;MONTREUIL;93;48.8536939,2.4285322
2013;Subventions spécifiques de fonctionnement;"ONZE HEURES ONZE "" FESTIVAL ONZE HEURES ONZE "" Renouvellement 2013";ONZE HEURES ONZE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2013;4000;BRIE-COMTE-ROBERT;4000;100,00%;11 ALLEE DES COQUELICOTS;77220;TOURNAN-EN-BRIE;77;48.7440339,2.7770574
2013;Subventions spécifiques de fonctionnement;ASSOCIATION SONS D''HIVER  RENOUVELLEMENT CP JUILLET 2013;ASSOCIATION SONS D'HIVER;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;95000;REGION ILE DE FRANCE;95000;100,00%;Domaine Chérioux;94407;VITRY S/SEINE CEDEX;94;48.777037,2.367762
2013;Subventions spécifiques de fonctionnement;L'ESPRIT JAZZ - FESTIVAL JAZZ A ST GERMAIN DES PRES - RENOUVELLEMENT  2013;L'ESPRIT JAZZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;15000;VILLE DE PARIS;15000;100,00%;19  RUE DES FRIGOS;75013;PARIS 13;75;48.831586,2.3791645
2013;Subventions spécifiques de fonctionnement;"NUIT VIVE - FESTIVAL MUSIQUES ACTUELLES ""NIGHT YOURSELF"" RENOUVELLEMENT 2013";NUIT VIVE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2013;18000;VILLE DE PARIS;18000;100,00%;67 AV PARMENTIER;75011;PARIS;75;48.8639625,2.375494
2014;Subventions spécifiques de fonctionnement;ASSOCIATION WE LOVE GREEN (FESTIVAL WE LOVE GREEN - RENOUVELLEMENT 2014);ASSO WE LOVE GREEN;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;25000;DEPARTEMENT DE PARIS;25000;100,00%;173-175 RUE DU FAUBOURG POISSONNIERE;75009;PARIS;75;48.8818036,2.3490174
2014;Subventions spécifiques de fonctionnement;ACCUEIL LOISIRS CULTURE (FESTIVAL  MAGNIFIK - RENOUVELLEMENT 2014);ALC ACCUEIL LOISIRS CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;3000;CHEVREUSE;3000;100,00%;RUE DU VIEUX CIMETIERE;78460;CHEVREUSE;78;48.7085358,2.0389383
2014;Subventions spécifiques de fonctionnement;COMITE ORGANISATION FESTIVAL DES PUCES - FESTIVAL JAZZ MUSETTE DES PUCES - RENOUVELLEMENT 2014;COMITE ORGANISATION FES TIVAL DES PUCES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;17000;DEPARTEMENT DE PARIS;17000;100,00%;80  AV  GABRIEL PERI;93400;ST OUEN;93;48.9060701,2.3313777
2014;Subventions spécifiques de fonctionnement;"ONZE HEURES ONZE "" FESTIVAL ONZE HEURES ONZE "" Renouvellement 2014";ONZE HEURES ONZE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2014;4000;BRIE-COMTE-ROBERT;4000;100,00%;11 ALLEE DES COQUELICOTS;77220;TOURNAN-EN-BRIE;77;48.7433187,2.7756214
2014;Subventions spécifiques de fonctionnement;DUKE FESTIVAL (PROVINS DUKE FESTIVAL - NOUVELLE DEMANDE 2014);DUKEFEST DUKE FESTIVAL;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;8000;SEINE ET MARNE;8000;100,00%;14 RUE PARMENTIER;92140;CLAMART;92;48.810149,2.2731721
2014;Subventions spécifiques de fonctionnement;SURPRIZE (WEATHER FESTIVAL - RENOUVELLEMENT 2014);SURPRIZE;Entreprises;Commission permanente du 10 avril 2014;15000;DEPARTEMENT DE PARIS;15000;100,00%;10 PASSAGE DUBAIL;75010;PARIS;75;48.8738957,2.3592689
2014;Subventions spécifiques de fonctionnement;"Copie du dossier ""12020810"" (ESPACE PREVERT ANIMATION -  FESTIVAL ""LES ENFANTS DU FOLK""- RENOUVELLEMENT)";ESPACE PREVERT ANIMATION;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;4000;SAVIGNY-LE-TEMPLE;4000;100,00%;AV CHARLES DE GAULLE;77176;SAVIGNY LE TEMPLE;77;48.6033016,2.5685677
2014;Subventions spécifiques de fonctionnement;GROUPE VENDOME ORGANISATION - FESTIVAL MARVELLOUS ISLAND - RENOUVELLEMENT 2014;GROUPE VENDOME ORGANISATION VENDOME EVENEMENT GALA EVENEMENT;Entreprises;Commission permanente du 10 avril 2014;10000;DEPARTEMENT DE PARIS;10000;100,00%;33 RUE DES JEUNEURS;75002;PARIS;75;48.8694484,2.3439694
2014;Subventions spécifiques de fonctionnement;KIOSQUORAMA (FESTIVAL KIOSQUORAMA - RENOUVELLEMENT 2014);KIOSQUORAMA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;9000;REGION ILE DE FRANCE;9000;100,00%;12-14 RUE OLIVIER METRA;75020;PARIS 20;75;48.8722922,2.3951498
2014;Subventions spécifiques de fonctionnement;BOLONDOKHAZA FESTIVAL TAPAROLE - RENOUVELLEMENT 2014;BOLONDOKHAZA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;10000;MONTREUIL;10000;100,00%;77 RUE JULES AUFFRET;93500;PANTIN;93;48.8845584,2.411354
2011;Subventions spécifiques de fonctionnement;MAMA (Musiques Actuelles 2011);MAMA;Entreprises et professions libérales;Commission permanente du 7 juillet 2011;100000;DEPARTEMENT DE PARIS;100000;100,00%;22 RUE HENRI SELLIER;75019;PARIS;75;48.8679909,2.226363
2012;Subventions spécifiques de fonctionnement;HIP HOP CITOYENS- FESTIVAL PARIS HIP HOP (RENOUVELLEMENT);HIP HOP CITOYENS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;120000;REGION ILE DE FRANCE;120000;100,00%;8 BOULEVARD DE MENILMONTANT;75020;PARIS 20;75;48.8587178,2.3897185
2012;Subventions spécifiques de fonctionnement;"GRAINES DE SWING "" festival arts et swing""";GRAINES DE SWING;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;2000;SAINT-LEU-LA-FORET;2000;100,00%;19 SENTE DES NEAUX;95320;SAINT-LEU-LA-FORET;95;49.019157,2.247531
2012;Subventions spécifiques de fonctionnement;FESTIVAL DJANGO REINHARDT  (RENOUVELLEMENT);FESTIVAL DJANGO REINHARDT;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;27500;SAMOIS-SUR-SEINE;27500;100,00%;5 RUE VICTOR CHEVIN;77920;SAMOIS S/SEINE;77;48.4519672,2.7497553
2012;Subventions spécifiques de fonctionnement;TOUCHES DE JAZZ (CP JUILLET 2012);TOUCHES DE JAZZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;3000;YVELINES;3000;100,00%;PLACE DU 8 MAI 1945;78650;BEYNES;78;48.855911,1.8753182
2012;Subventions spécifiques de fonctionnement;L'ESTIVAL ST GERMAIN EN LAYE - FESTIVAL DES MUSIQUES (nouvelle demande 2012);L'ESTIVAL ST GERMAIN EN LAYE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;10000;YVELINES;10000;100,00%;4 rue Giraud Teulon;78100;ST GERMAIN EN LAYE;78;48.8934985,2.0968678
2013;Subventions spécifiques de fonctionnement;CENTRE D'ART ET CULTURE (JAZZ'N'KLEZMER - NOUVELLE DEMANDE 2013);CAC CENTRE D'ART ET CULTURE RUE BROCA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2013;10000;DEPARTEMENT DE PARIS;10000;100,00%;39 RUE BROCA;75005;PARIS;75;48.8379284,2.3478231
2013;Subventions spécifiques de fonctionnement;LES MOLIERES EVENEMENTS (LES 6 HEURES DU JAZZ - RENOUVELLEMENT 2013);LES MOLIERES EVENEMENTS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;3000;ESSONNE;3000;100,00%;PLACE DE LA MAIRIE;91470;LES MOLIERES;91;48.6729291,2.0688272
2013;Subventions spécifiques de fonctionnement;COMMUNE DE MAGNY LES HAMEAUX - FESTIVAL A BOUT DE CHANT  RENOUVELLEMENT 2013;COMMUNE DE MAGNY LES HAMEAUX;Communes;Commission permanente du 4 avril 2013;10000;MAGNY-LES-HAMEAUX;10000;100,00%;1   PL  PIERRE BEREGOVOY;78470;MAGNY LES HAMEAUX;78;48.7236637,2.0832395
2013;Subventions spécifiques de fonctionnement;LA FABRICA''SON  - FESTIVA SON  RENOUVELLEMENT 2013;LA FABRICA'SON;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2013;3000;MALAKOFF;3000;100,00%;28 RUE VICTOR HUGO;92240;MALAKOFF;92;48.8223664,2.3058331
2013;Subventions spécifiques de fonctionnement;FESTIVAL DJANGO REINHARDT RENOUVELLEMENT 2013;FESTIVAL DJANGO REINHARDT;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;27500;SAMOIS-SUR-SEINE;27500;100,00%;5 RUE VICTOR CHEVIN;77920;SAMOIS S/SEINE;77;48.4519672,2.7497553
2013;Subventions spécifiques de fonctionnement;A QUI LE TOUR (FEST'IN GRANGE - NOUVELLE DEMANDE 2013);A QUI LE TOUR;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2013;6000;VAL D'OISE;6000;100,00%;PLACE DE LA MAIRIE;95440;ECOUEN;95;49.0185038,2.3786463
2013;Subventions spécifiques de fonctionnement;HIP HOP CITOYENS  FESTIVAL PARIS HIP HOP RENVOUELLEMENT 2013;HIP HOP CITOYENS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;100000;VILLE DE PARIS;100000;100,00%;8 BOULEVARD DE MENILMONTANT;75020;PARIS 20;75;48.8587178,2.3897185
2014;Subventions spécifiques de fonctionnement;PARIS JAZZ CLUB (FESTIVAL JAZZ SUR SEINE - NOUVELLE DEMANDE 2014);PARIS JAZZ CLUB;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;8000;REGION ILE DE FRANCE;8000;100,00%;39 RUE DES LOMBARDS;75001;PARIS;75;48.8598229,2.3474897
2014;Subventions spécifiques de fonctionnement;HIP HOP CITOYENS  FESTIVAL PARIS HIP HOP RENVOUELLEMENT 2014;HIP HOP CITOYENS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;100000;VILLE DE PARIS;100000;100,00%;8 BOULEVARD DE MENILMONTANT;75020;PARIS 20;75;48.8587178,2.3897185
2014;Subventions spécifiques de fonctionnement;LA FABRICA'SON  - FESTIVA SON  RENOUVELLEMENT 2014;LA FABRICA'SON;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 17 octobre 2014;3000;MALAKOFF;3000;100,00%;28 RUE VICTOR HUGO;92240;MALAKOFF;92;48.8223664,2.3058331
2011;Subventions spécifiques de fonctionnement;MJC CONFLANS STE HONORIN MAISON JEUNES & CULTURE (nouvelle demande 2011);MJC CONFLANS STE HONORIN MAISON JEUNES & CULTURE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 7 juillet 2011;5000;CONFLANS-SAINTE-HONORINE;5000;100,00%;AV  DU PONT;78700;CONFLANS STE HONORINE;78;48.990795,2.0817979
2012;Subventions spécifiques de fonctionnement;FESTIVAL AUBERCAIL (RENOUVELLEMENT);AUBERCAIL ASSOCIATION;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;35000;AUBERVILLIERS;35000;100,00%;135-153 RUE DANIELLE CASANOVA;93300;AUBERVILLIERS;93;48.9163647,2.3979455
2012;Subventions spécifiques de fonctionnement;ASSO WE LOVE GREEN (CP JUILLET 2012);ASSO WE LOVE GREEN;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 12 juillet 2012;20000;DEPARTEMENT DE PARIS;20000;100,00%;173-175 RUE DU FAUBOURG POISSONNIERE;75009;PARIS;75;48.881951,2.3496411
2012;Subventions spécifiques de fonctionnement;COMMUNE D'ECOUEN - FESTIVAL DES JEUNES POUSSES (aide au festival, nouvelle demande 2012);COMMUNE D'ECOUEN;Communes;Commission permanente du 11 octobre 2012;6000;ECOUEN;6000;100,00%;PLACE DE LA MAIRIE;95440;ECOUEN;95;49.0185038,2.3786463
2012;Subventions spécifiques de fonctionnement;KIOSQUORAMA ECO FESTIVAL MUSICAL 4è EDITION (RENOUVELLEMENT AIDE);KIOSQUORAMA;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 29 mars 2012;10000;REGION ILE DE FRANCE;10000;100,00%;12-14 RUE OLIVIER METRA;75020;PARIS 20;75;48.8722255,2.394994
2013;Subventions spécifiques de fonctionnement;ASSOCIATION ZULUBERLUS - LES ETATS MUSICAUX (FESTIVAL MUSIQUES ACTUELLES NOUVELLE DEMANDE 2013);ASSOCIATION ZULUBERLUS;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 4 avril 2013;7000;COLOMBES;7000;100,00%;3 RUE ST DENIS;92700;COLOMBES;92;48.9237477,2.25889
2013;Subventions spécifiques de fonctionnement;COMITE ORGANISATION FESTIVAL DES PUCES (FESTIVAL JAZZ MUSETTE DES PUCES - RENOUVELLEMENT 2013);COMITE ORGANISATION FES TIVAL DES PUCES;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;17000;DEPARTEMENT DE PARIS;17000;100,00%;80  AV  GABRIEL PERI;93400;ST OUEN;93;48.9059693,2.3317738
2013;Subventions spécifiques de fonctionnement;MAMA CP JUILLET 2013 RENOUVELLEMENT;MAMA;Entreprises et professions libérales;Commission permanente du 11 juillet 2013;120000;DEPARTEMENT DE PARIS;120000;100,00%;22 RUE HENRI SELLIER;75019;PARIS;75;48.8679909,2.226363
2013;Subventions spécifiques de fonctionnement;AU SUD DU NORD (17EME FESTIVAL AU SUD DU NORD - RENOUVELLEMENT 2013);AU SUD DU NORD;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 30 mai 2013;13000;ESSONNE;13000;100,00%;8  RUE DES VALLEES;91590;BOISSY LE CUTTE;91;48.4693962,2.2832339
2013;Subventions spécifiques de fonctionnement;DUKE FESTIVAL (PROVINS DUKE FESTIVAL - NOUVELLE DEMANDE 2013);DUKEFEST DUKE FESTIVAL;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 11 juillet 2013;8000;SEINE ET MARNE;8000;100,00%;14 RUE PARMENTIER;92140;CLAMART;92;48.810149,2.2731721
2014;Subventions spécifiques de fonctionnement;JAZZ AU FIL DE L''OISE (FESTIVAL JAZZ AU FIL DE L''OISE - RENOUVELLEMENT 2014);JAZZ AU FIL DE L'OISE;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;15000;VAL D'OISE;15000;100,00%;MAISON DE L'ILE;95430;AUVERS S/OISE;95;49.071144,2.172016
2014;Subventions spécifiques de fonctionnement;AFRICOLOR - FESTIVAL AFRICOLOR - RENOUVELLEMENT 2014;AFRICOLOR;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;21000;REGION ILE DE FRANCE;21000;100,00%;14 RUE DE CHARTRES;75018;PARIS;75;48.8845598,2.3546397
2014;Subventions spécifiques de fonctionnement;L'ESPRIT JAZZ - FESTIVAL JAZZ A ST GERMAIN DES PRES - RENOUVELLEMENT  2014;L'ESPRIT JAZZ;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 10 avril 2014;15000;VILLE DE PARIS;15000;100,00%;19  RUE DES FRIGOS;75013;PARIS 13;75;48.831586,2.3791645
2014;Subventions spécifiques de fonctionnement;ASSOCIATION PREMIER DRAGON (FESTIVAL UN AIR DE VOYAGE - RENOUVELLEMENT 2014);ASSOCIATION PREMIER DRAGON;Association loi 1901 et assimilées (fondations, ONG …);Commission permanente du 18 juin 2014;7000;VAL D'OISE;7000;100,00%;12 ALLEE DES PETITS PAINS;95800;CERGY;95;49.0477032,2.0341873
